"relative_path","status","category","size_bytes","note"
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\OromoDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\PersianDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\PolishDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\PortugueseDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\PunjabiDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\RomanianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\RussianDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SerbianDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\ShonaDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SinhalaDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SlovakDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SloveneDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SomaliDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SothoDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SpanishDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SwahiliDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\SwedishDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TagalogDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TamilDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TeluguDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\ThaiDetectionAccuracyReport.kt","active","misc","945","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TigrinyaDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TsongaDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TswanaDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\TurkishDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\UkrainianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\UrduDetectionAccuracyReport.kt","active","misc","945","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\VietnameseDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\WelshDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\XhosaDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\YorubaDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\lingua\ZuluDetectionAccuracyReport.kt","active","misc","945","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\AfrikaansDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\AlbanianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ArabicDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ArmenianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\AzerbaijaniDetectionAccuracyReport.kt","active","misc","969","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BasqueDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BelarusianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BengaliDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BokmalDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BosnianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\BulgarianDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\CatalanDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ChineseDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\CroatianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\CzechDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\DanishDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\DutchDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\EnglishDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\EsperantoDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\EstonianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\FinnishDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\FrenchDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\GeorgianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\GermanDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\GreekDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\GujaratiDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\HebrewDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\HindiDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\HungarianDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\IcelandicDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\IndonesianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\IrishDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ItalianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\JapaneseDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\KazakhDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\KoreanDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\LatinDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\LatvianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\LithuanianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\MacedonianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\MalayDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\MaoriDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\MarathiDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\MongolianDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\NynorskDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\PersianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\PolishDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\PortugueseDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\PunjabiDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\RomanianDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\RussianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SerbianDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SlovakDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SloveneDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SomaliDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SpanishDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SwahiliDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\SwedishDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\TagalogDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\TamilDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\TeluguDetectionAccuracyReport.kt","active","misc","954","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ThaiDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\TurkishDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\UkrainianDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\UrduDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\VietnameseDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\WelshDetectionAccuracyReport.kt","active","misc","951","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\opennlp\ZuluDetectionAccuracyReport.kt","active","misc","948","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\AfrikaansDetectionAccuracyReport.kt","active","misc","969","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\AlbanianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\ArabicDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\BasqueDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\BelarusianDetectionAccuracyReport.kt","active","misc","972","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\BengaliDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\BulgarianDetectionAccuracyReport.kt","active","misc","969","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\CatalanDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\ChineseDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\CroatianDetectionAccuracyReport.kt","active","misc","966","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\CzechDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\DanishDetectionAccuracyReport.kt","active","misc","960","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\DutchDetectionAccuracyReport.kt","active","misc","957","Repository artifact reviewed during the PM audit."
"archive\legacy_generated\pre_2026_03_04_rebuild\Dataset\output\oss_refs\lingua\src\accuracyReport\kotlin\com\github\pemistahl\lingua\report\optimaize\EnglishDetectionAccuracyReport.kt","active","misc","963","Repository artifact reviewed during the PM audit."
